"Rang","Land","Gesamtwertindex","Klassifikation"
1,"Dänemark","0.943","Funktionierende Demokratie"
2,"Norwegen","0.941","Funktionierende Demokratie"
3,"Schweden","0.934","Funktionierende Demokratie"
4,"Estland","0.933","Funktionierende Demokratie"
5,"Schweiz","0.931","Funktionierende Demokratie"
6,"Niederlande","0.927","Funktionierende Demokratie"
7,"Finnland","0.922","Funktionierende Demokratie"
8,"Belgien","0.913","Funktionierende Demokratie"
9,"Australien","0.911","Funktionierende Demokratie"
10,"Neuseeland","0.91","Funktionierende Demokratie"
11,"Deutschland","0.909","Funktionierende Demokratie"
12,"Portugal","0.908","Funktionierende Demokratie"
13,"Island","0.904","Funktionierende Demokratie"
14,"Spanien","0.9","Funktionierende Demokratie"
15,"Uruguay","0.891","Funktionierende Demokratie"
16,"Costa Rica","0.89","Funktionierende Demokratie"
17,"Luxemburg","0.89","Funktionierende Demokratie"
18,"Kanada","0.888","Funktionierende Demokratie"
19,"Irland","0.882","Funktionierende Demokratie"
20,"Großbritannien","0.88","Funktionierende Demokratie"
21,"Korea, Republik von","0.876","Funktionierende Demokratie"
22,"Japan","0.869","Funktionierende Demokratie"
23,"Slowenien","0.859","Funktionierende Demokratie"
24,"Österreich","0.858","Funktionierende Demokratie"
25,"Frankreich","0.856","Funktionierende Demokratie"
26,"Italien","0.855","Funktionierende Demokratie"
27,"Litauen","0.855","Funktionierende Demokratie"
28,"Tschechien","0.838","Funktionierende Demokratie"
29,"Lettland","0.833","Funktionierende Demokratie"
30,"Taiwan","0.832","Funktionierende Demokratie"
31,"Barbados","0.831","Funktionierende Demokratie"
32,"Vereinigte Staaten","0.83","Funktionierende Demokratie"
33,"Zypern","0.825","Funktionierende Demokratie"
34,"Cabo Verde","0.816","Funktionierende Demokratie"
35,"Slowakei","0.812","DefizitÃ¤re Demokratie"
36,"Chile","0.811","DefizitÃ¤re Demokratie"
37,"Mauritius","0.798","DefizitÃ¤re Demokratie"
38,"Trinidad und Tobago","0.797","DefizitÃ¤re Demokratie"
39,"Griechenland","0.791","DefizitÃ¤re Demokratie"
40,"Tunesien","0.789","DefizitÃ¤re Demokratie"
41,"Vanuatu","0.774","DefizitÃ¤re Demokratie"
42,"Jamaika","0.768","DefizitÃ¤re Demokratie"
43,"Argentinien","0.768","DefizitÃ¤re Demokratie"
44,"Israel","0.762","DefizitÃ¤re Demokratie"
45,"Botswana","0.754","DefizitÃ¤re Demokratie"
46,"Malta","0.753","DefizitÃ¤re Demokratie"
47,"Polen","0.747","DefizitÃ¤re Demokratie"
48,"Georgien","0.722","DefizitÃ¤re Demokratie"
49,"SÃ£o TomÃ© and PrÃ­ncipe","0.721","DefizitÃ¤re Demokratie"
50,"Panama","0.71","DefizitÃ¤re Demokratie"
51,"Peru","0.709","DefizitÃ¤re Demokratie"
52,"Kroatien","0.708","DefizitÃ¤re Demokratie"
53,"Surinam","0.706","DefizitÃ¤re Demokratie"
54,"Südafrika","0.696","DefizitÃ¤re Demokratie"
55,"Bulgarien","0.696","DefizitÃ¤re Demokratie"
56,"Seychellen","0.689","DefizitÃ¤re Demokratie"
57,"Senegal","0.683","DefizitÃ¤re Demokratie"
58,"Namibia","0.679","DefizitÃ¤re Demokratie"
59,"Mongolei","0.668","DefizitÃ¤re Demokratie"
60,"Benin","0.668","DefizitÃ¤re Demokratie"
61,"Ghana","0.654","Hybrides Regime"
62,"Bhutan","0.647","Hybrides Regime"
63,"Guyana","0.64","DefizitÃ¤re Demokratie"
64,"Malawi","0.639","DefizitÃ¤re Demokratie"
65,"Gambia","0.638","DefizitÃ¤re Demokratie"
66,"Burkina Faso","0.638","Hybrides Regime"
67,"Indonesien","0.634","DefizitÃ¤re Demokratie"
68,"Sri Lanka","0.633","Hybrides Regime"
69,"Nepal","0.63","DefizitÃ¤re Demokratie"
70,"Timor-Leste","0.622","Hybrides Regime"
71,"Ungarn","0.615","DefizitÃ¤re Demokratie"
72,"Mexiko","0.611","Hybrides Regime"
73,"Brasilien","0.605","Hybrides Regime"
74,"CÃ´te d'Ivoire","0.604","Hybrides Regime"
75,"Moldau, Republik","0.6","Hybrides Regime"
76,"Tansania","0.596","DefizitÃ¤re Demokratie"
77,"Hongkong","0.595","Hybrides Regime"
78,"Indien","0.594","DefizitÃ¤re Demokratie"
79,"Lesotho","0.591","Hybrides Regime"
80,"Ecuador","0.591","Hybrides Regime"
81,"Bolivien","0.59","Hybrides Regime"
82,"Albanien","0.587","DefizitÃ¤re Demokratie"
