"Rank","Country","Total Value Index","Classification"
1,"Denmark","0.94","Working Democracy"
2,"Norway","0.938","Working Democracy"
3,"Estonia","0.929","Working Democracy"
4,"Sweden","0.929","Working Democracy"
5,"Switzerland","0.927","Working Democracy"
6,"Netherlands","0.923","Working Democracy"
7,"Finland","0.916","Working Democracy"
8,"Belgium","0.909","Working Democracy"
9,"New Zealand","0.906","Working Democracy"
10,"Australia","0.906","Working Democracy"
11,"Germany","0.904","Working Democracy"
12,"Portugal","0.902","Working Democracy"
13,"Iceland","0.9","Working Democracy"
14,"Spain","0.895","Working Democracy"
15,"Uruguay","0.884","Working Democracy"
16,"Canada","0.884","Working Democracy"
17,"Luxembourg","0.884","Working Democracy"
18,"Costa Rica","0.879","Working Democracy"
19,"Ireland","0.876","Working Democracy"
20,"United Kingdom","0.873","Working Democracy"
21,"South Korea","0.866","Working Democracy"
22,"Japan","0.862","Working Democracy"
23,"Austria","0.852","Working Democracy"
24,"Slovenia","0.846","Working Democracy"
25,"Lithuania","0.844","Working Democracy"
26,"France","0.843","Working Democracy"
27,"Italy","0.843","Working Democracy"
28,"Czech Republic","0.828","Working Democracy"
29,"Barbados","0.824","Working Democracy"
30,"Latvia","0.821","Working Democracy"
31,"United States of America","0.819","Working Democracy"
32,"Taiwan","0.817","Working Democracy"
33,"Cyprus","0.807","Deficient Democracy"
34,"Cape Verde","0.804","Working Democracy"
35,"Chile","0.799","Deficient Democracy"
36,"Slovakia","0.798","Deficient Democracy"
37,"Trinidad and Tobago","0.781","Deficient Democracy"
38,"Greece","0.774","Deficient Democracy"
39,"Mauritius","0.773","Deficient Democracy"
40,"Tunisia","0.769","Deficient Democracy"
41,"Vanuatu","0.757","Deficient Democracy"
42,"Israel","0.751","Deficient Democracy"
43,"Argentina","0.751","Deficient Democracy"
44,"Jamaica","0.743","Deficient Democracy"
45,"Botswana","0.742","Deficient Democracy"
46,"Poland","0.74","Deficient Democracy"
47,"Malta","0.733","Deficient Democracy"
48,"Georgia","0.709","Deficient Democracy"
49,"São Tomé and Príncipe","0.7","Deficient Democracy"
50,"Croatia","0.689","Deficient Democracy"
51,"Suriname","0.689","Deficient Democracy"
52,"Panama","0.687","Deficient Democracy"
53,"Peru","0.679","Deficient Democracy"
54,"Bulgaria","0.67","Deficient Democracy"
