"country_identifier","EN","DE"
"01-Europe","Europe","Europe"
"02-North America incl. AUS+NZ","North America incl. AUS+NZ","Nordamerika inkl. AUS+NZ"
"03-Latin America","Latin America","Lateinamerika"
"04-Post-Soviet States (without EU-members)","Post-Soviet States (without EU-members)","Postsowjetische Staaten (ohne EU-Mitglieder)"
"05-Middle East and North Africa","Middle East and North Africa","Nahost und Nordafrika"
"06-Sub-Saharan Africa","Sub-Saharan Africa","Sub-Sahara Afrika"
"07-South Asia","South Asia","SÃ¼dasien"
"08-South-East Asia","South-East Asia","SÃ¼dostasien"
"09-East Asia","East Asia","Ostasien"
"10-Small island states","Small island states","Kleine Inselstaaten"
"Afghanistan","Afghanistan","Afghanistan"
"Albania","Albania","Albanien"
"Algeria","Algeria","Algerien"
"Angola","Angola","Angola"
"Argentina","Argentina","Argentinien"
"Armenia","Armenia","Armenien"
"Australia","Australia","Australien"
"Austria","Austria","Österreich"
"Azerbaijan","Azerbaijan","Aserbaidschan"
"Bahrain","Bahrain","Bahrain"
"Bangladesh","Bangladesh","Bangladesch"
"Barbados","Barbados","Barbados"
"Belarus","Belarus","Weißrussland"
"Belgium","Belgium","Belgien"
"Benin","Benin","Benin"
"Bhutan","Bhutan","Bhutan"
"Bolivia","Bolivia","Bolivien"
"Bosnia and Herzegovina","Bosnia and Herzegovina","Bosnien und Herzegowina"
"Botswana","Botswana","Botswana"
"Brazil","Brazil","Brasilien"
"Bulgaria","Bulgaria","Bulgarien"
"Burkina Faso","Burkina Faso","Burkina Faso"
"Burma/Myanmar","Burma/Myanmar","Myanmar"
"Burundi","Burundi","Burundi"
"Cambodia","Cambodia","Kambodscha"
"Cameroon","Cameroon","Kamerun"
"Canada","Canada","Kanada"
"Cape Verde","Cape Verde","Cabo Verde"
"Central African Republic","Central African Republic","Zentralafrikanische Republik"
"Chad","Chad","Tschad"
"Chile","Chile","Chile"
"China","China","China"
"Colombia","Colombia","Kolumbien"
"Comoros","Comoros","Komoren"
"Costa Rica","Costa Rica","Costa Rica"
"Croatia","Croatia","Kroatien"
"Cuba","Cuba","Kuba"
"Cyprus","Cyprus","Zypern"
"Czech Republic","Czech Republic","Tschechien"
"Democratic Republic of Congo","Congo, Democratic Republic","Kongo, Demokratische Republik"
"Democratic Republic of Vietnam","Vietnam, Democratic Republic","Vietnam, Demokratische Republik"
"Denmark","Denmark","Dänemark"
"Djibouti","Djibouti","Dschibuti"
"Dominican Republic","Dominican Republic","Dominikanische Republik"
"Ecuador","Ecuador","Ecuador"
"Egypt","Egypt","Ägypten"
"El Salvador","El Salvador","El Salvador"
"Equatorial Guinea","Equatorial Guinea","Äquatorialguinea"
"Eritrea","Eritrea","Eritrea"
"Estonia","Estonia","Estland"
"Eswatini","Eswatini","Swasiland"
"Ethiopia","Ethiopia","Äthiopien"
"Fiji","Fiji","Fidschi"
"Finland","Finland","Finnland"
"France","France","Frankreich"
"Gabon","Gabon","Gabun"
"Georgia","Georgia","Georgien"
"German Democratic Republic","German Democratic Republic","Deutsche Demokratische Republik"
"Germany","Germany","Deutschland"
"Ghana","Ghana","Ghana"
"Global","Global","Global"
"Greece","Greece","Griechenland"
"Guatemala","Guatemala","Guatemala"
"Guinea","Guinea","Guinea"
"Guinea-Bissau","Guinea-Bissau","Guinea-Bissau"
"Guyana","Guyana","Guyana"
"Haiti","Haiti","Haiti"
"Honduras","Honduras","Honduras"
"Hong Kong","Hong Kong","Hongkong"
"Hungary","Hungary","Ungarn"
"Iceland","Iceland","Island"
"India","India","Indien"
"Indonesia","Indonesia","Indonesien"
"Iran","Iran","Iran"
"Iraq","Iraq","Irak"
"Ireland","Ireland","Irland"
"Israel","Israel","Israel"
"Italy","Italy","Italien"
"Ivory Coast","CÃ´te d'Ivoire","CÃ´te d'Ivoire"
"Jamaica","Jamaica","Jamaika"
"Japan","Japan","Japan"
"Jordan","Jordan","Jordanien"
"Kazakhstan","Kazakhstan","Kasachstan"
"Kenya","Kenya","Kenia"
"Kosovo","Kosovo","Kosovo"
"Kuwait","Kuwait","Kuwait"
"Kyrgyzstan","Kyrgyzstan","Kirgisistan"
"Laos","Laos","Laos, Demokratische Volksrepublik"
"Latvia","Latvia","Lettland"
"Lebanon","Lebanon","Libanon"
"Lesotho","Lesotho","Lesotho"
"Liberia","Liberia","Liberia"
"Libya","Libya","Libyen"
"Lithuania","Lithuania","Litauen"
"Luxembourg","Luxembourg","Luxemburg"
"Madagascar","Madagascar","Madagaskar"
"Malawi","Malawi","Malawi"
"Malaysia","Malaysia","Malaysia"
"Maldives","Maldives","Malediven"
"Mali","Mali","Mali"
"Malta","Malta","Malta"
"Mauritania","Mauritania","Mauretanien"
"Mauritius","Mauritius","Mauritius"
"Mexico","Mexico","Mexiko"
"Moldova","Moldova","Moldau, Republik"
"Mongolia","Mongolia","Mongolei"
"Montenegro","Montenegro","Montenegro"
"Morocco","Morocco","Marokko"
"Mozambique","Mozambique","Mosambik"
"Namibia","Namibia","Namibia"
"Nepal","Nepal","Nepal"
"Netherlands","Netherlands","Niederlande"
"New Zealand","New Zealand","Neuseeland"
"Nicaragua","Nicaragua","Nicaragua"
"Niger","Niger","Niger"
"Nigeria","Nigeria","Nigeria"
"North Korea","North Korea","Korea, Demokratische Volksrepublik"
"North Macedonia","North Macedonia","Mazedonien"
"Norway","Norway","Norwegen"
"Oman","Oman","Oman"
"Pakistan","Pakistan","Pakistan"
"Palestine/British Mandate","Palestine/British Mandate","PalÃ¤stina/Britisches Mandat"
"Palestine/Gaza","Palestine/Gaza","PalÃ¤stina/Gaza"
"Palestine/West Bank","Palestine/West Bank","PalÃ¤stina/Westjordanland"
"Panama","Panama","Panama"
"Papua New Guinea","Papua New Guinea","Papua-Neuguinea"
"Paraguay","Paraguay","Paraguay"
"Peru","Peru","Peru"
"Philippines","Philippines","Philippinen"
"Poland","Poland","Polen"
"Portugal","Portugal","Portugal"
"Qatar","Qatar","Katar"
"Republic of the Congo","Congo, Republic","Kongo, Republik"
"Republic of Vietnam","Vietnam","Vietnam"
"Romania","Romania","Rumänien"
"Russia","Russia","Russland"
"Rwanda","Rwanda","Ruanda"
"Sao Tome and Principe","SÃ£o TomÃ© and PrÃ­ncipe","SÃ£o TomÃ© and PrÃ­ncipe"
"Saudi Arabia","Saudi Arabia","Saudi Arabien"
"Senegal","Senegal","Senegal"
"Serbia","Serbia","Serbien"
"Seychelles","Seychelles","Seychellen"
"Sierra Leone","Sierra Leone","Sierra Leone"
"Singapore","Singapore","Singapur"
"Slovakia","Slovakia","Slowakei"
"Slovenia","Slovenia","Slowenien"
"Solomon Islands","Solomon Islands","Salomon-Inseln"
"Somalia","Somalia","Somalia"
"Somaliland","Somaliland","Somaliland"
"South Africa","South Africa","Südafrika"
"South Korea","South Korea","Korea, Republik von"
"South Sudan","South Sudan","Südsudan"
"South Yemen","South Yemen","Jemen, Demokratische Volksrepublik"
"Spain","Spain","Spanien"
"Sri Lanka","Sri Lanka","Sri Lanka"
"Sudan","Sudan","Sudan"
"Suriname","Suriname","Surinam"
"Sweden","Sweden","Schweden"
"Switzerland","Switzerland","Schweiz"
"Syria","Syria","Syrien, Arabische Republik"
"Taiwan","Taiwan","Taiwan"
"Tajikistan","Tajikistan","Tadschikistan"
"Tanzania","Tanzania","Tansania"
"Thailand","Thailand","Thailand"
"The Gambia","The Gambia","Gambia"
"Timor-Leste","Timor-Leste","Timor-Leste"
"Togo","Togo","Togo"
"Trinidad and Tobago","Trinidad and Tobago","Trinidad und Tobago"
"Tunisia","Tunisia","Tunesien"
"Turkey","Turkey","Türkei"
"Turkmenistan","Turkmenistan","Turkmenistan"
"Uganda","Uganda","Uganda"
"Ukraine","Ukraine","Ukraine"
"United Arab Emirates","United Arab Emirates","Vereinigte Arabische Emirate"
"United Kingdom","United Kingdom","Großbritannien"
"United States of America","United States of America","Vereinigte Staaten"
"Uruguay","Uruguay","Uruguay"
"Uzbekistan","Uzbekistan","Usbekistan"
"Vanuatu","Vanuatu","Vanuatu"
"Venezuela","Venezuela","Venezuela"
"Yemen","Yemen","Jemen"
"Zambia","Zambia","Sambia"
